name,same_as,shortname_mx10,entity,nerc_url,key
eobs horizontal accuracy estimate,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000094,MVB000094
eobs key bin checksum,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000095,MVB000095
eobs speed accuracy estimate,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000096,MVB000096
eobs start timestamp,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000097,MVB000097
eobs status,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000098,MVB000098
eobs temperature,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000099,MVB000099
eobs type of fix,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000100,MVB000100
eobs used time to get fix,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000101,MVB000101
event ID,,event_id,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000103,MVB000103
external temperature,temperature external,ext_temp,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000104,MVB000104
Flt switch,,flt_switch,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000105,MVB000105
geolocator calibration,,geoloc_cal,deployment,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000106,MVB000106
geolocator fix type,,geoloc_fxt,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000107,MVB000107
geolocator light threshold,,geoloc_lit,deployment,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000108,MVB000108
geolocator rise,,geoloc_ris,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000215,MVB000215
geolocator sensor comments,,geoloc_sc,deployment,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000109,MVB000109
geolocator sun elevation angle,,geoloc_sea,deployment,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000110,MVB000110
geolocator twilight3,,geoloc_tw3,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000216,MVB000216
go public date,,go_publ,study,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000250,MVB000250
activity count,GPS Activity Count,act_count,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000114,MVB000114
GPS DOP,,gps_dop,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000115,MVB000115
GPS fix type,,gps_fix_t,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000116,MVB000116
GPS fix type raw,,gps_fix_tr,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000117,MVB000117
GPS HDOP,,gps_hdop,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000118,MVB000118
GPS maximum signal strength,,gps_maxss,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000119,MVB000119
GPS message count,,gps_mesco,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000251,MVB000251
GPS satellite count,,gps_sat_ct,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000120,MVB000120
GPS speed accuracy estimate,speed accuracy estimate,gps_sp_ae,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000237,MVB000237
GPS time to fix,,gps_ttf,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000121,MVB000121
GPS VDOP,,gps_vdop,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000122,MVB000122
grants used,,grants,study,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000123,MVB000123
ground speed,,grd_speed,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000124,MVB000124
GSM MCC-MNC,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000125,MVB000125
GSM signal strength,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000126,MVB000126
Gt sys week,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000111,MVB000111
Gt tx count,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000112,MVB000112
gyroscope axes,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000252,MVB000252
gyroscope sampling frequency per axis,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000253,MVB000253
habitat,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000127,MVB000127
habitat according to,,,deployment,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000128,MVB000128
heading,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000129,MVB000129
height above ellipsoid,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000130,MVB000130
height above mean sea level,height above msl,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000131,MVB000131
height raw,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000132,MVB000132
I am collaborator,,,study,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000254,MVB000254
I am owner,,,study,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000217,MVB000217
I can see data,,,study,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000218,MVB000218
I have download access,,,study,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000255,MVB000255
import marked outlier,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000133,MVB000133
individual local identifier,animal ID,animal_id,individual,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000134,MVB000134
individual taxon canonical name,animal taxon,animal_tax,individual,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000135,MVB000135
internal temperature,temperature internal,temp_intern,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000256,MVB000256
lat lower,latitude lower,lat_lower,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000136,MVB000136
lat upper,latitude upper,lat_upper,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000137,MVB000137
license terms,,lic_terms,study,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000138,MVB000138
license type,,lic_type,study,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000257,MVB000257
light level,gls light level,light_levl,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000139,MVB000139
study local timestamp,,study_locts,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000140,MVB000140
location accuracy comments,,loc_accr_c,deployment,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000141,MVB000141
location error numerical,,loc_err_nu,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000142,MVB000142
location error percentile,,loc_err_pe,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000143,MVB000143
location error text,,loc_err_te,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000144,MVB000144
location lat,,loc_lat,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000145,MVB000145
location long,,loc_long,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000146,MVB000146
long lower,longitude lower,long_lower,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000147,MVB000147
long upper,longitude upper,long_upper,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000148,MVB000148
Lotek CRC status,Lot CRC status,lotek_crcs,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000149,MVB000149
Lotek CRC status text,Lot CRC status text,lotek_crct,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000150,MVB000150
magnetic field axes,mag magnetic field axes,mag_fld_ax,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000219,MVB000219
magnetic field raw x,mag magnetic field raw x,mag_fld_rx,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000151,MVB000151
magnetic field raw y,mag magnetic field raw y,mag_fld_ry,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000152,MVB000152
magnetic field raw z,mag magnetic field raw z,mag_fld_rz,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000153,MVB000153
magnetic field sampling frequency per axis,mag magnetic field sampling frequency per axies,mag_fld_fr,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000220,MVB000220
magnetic field x,,mag_fld_x,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000258,MVB000258
magnetic field y,,mag_fld_y,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000259,MVB000259
magnetic field z,,mag_fld_z,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000260,MVB000260
magnetic fields raw,mag magnetic fields raw,mag_fld_r,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000221,MVB000221
main location lat,study reference location latitude,mn_loc_lat,study,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000222,MVB000222
main location long,study reference location longitude,mn_loc_lon,study,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000223,MVB000223
manipulation comments,,mani_comm,deployment,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000154,MVB000154
manipulation type,,mani_type,deployment,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000155,MVB000155
manually marked outlier,,manm_outl,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000156,MVB000156
manually marked valid,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000157,MVB000157
migration stage,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000160,MVB000160
migration stage standard,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000161,MVB000161
