name,same_as,shortname_mx10,entity,nerc_url,key
temperature min,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000195,MVB000195
there are data which I cannot see,,,study,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000239,MVB000239
tilt angle,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000196,MVB000196
tilt x,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000197,MVB000197
tilt y,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000198,MVB000198
tilt z,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000199,MVB000199
timestamp,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000200,MVB000200
timestamp end,,,study,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000274,MVB000274
timestamp of first deployed location,,,study,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000240,MVB000240
timestamp of last deployed location,,,study,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000241,MVB000241
timestamp start,,,study,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000275,MVB000275
transmission protocol,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000276,MVB000276
transmission timestamp,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000201,MVB000201
tsn,,,taxon,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000277,MVB000277
twilight,gls twilight,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000113,MVB000113
twilight excluded,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000242,MVB000242
twilight inserted,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000243,MVB000243
underwater count,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000202,MVB000202
underwater time,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000203,MVB000203
update ts,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000204,MVB000204
UTM easting,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000205,MVB000205
UTM northing,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000206,MVB000206
UTM zone,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000207,MVB000207
vertical error numerical,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000208,MVB000208
visible,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000209,MVB000209
waterbird workshop: behavior,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000210,MVB000210
waterbird workshop: deployment special event,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000211,MVB000211
waterbird workshop: migration state,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000212,MVB000212
wet count,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000213,MVB000213
Argos location algorithm,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000278,MVB000278
Argos nb mes identical,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000279,MVB000279
contact person ID,,,study,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000280,MVB000280
ECG raw,heartrate ECG raw,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000281,MVB000281
ECG sampling frequency,heartrate ECG sampling frequency,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000282,MVB000282
ECGs raw,heartrate ECGs raw,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000283,MVB000283
GPS PDOP,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000284,MVB000284
GPS twilight,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000285,MVB000285
Gt activity count,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000286,MVB000286
heart rate,heartrate heart rate,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000287,MVB000287
Icarus solar cell current,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000288,MVB000288
is location sensor,,,tag_type,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000289,MVB000289
is test,,,study,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000290,MVB000290
Lotek fix status,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000291,MVB000291
receiver deployment ID,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000292,MVB000292
receiver detector ID,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000293,MVB000293
RR interval,heartrate RR interval,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000294,MVB000294
tag battery voltage,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000295,MVB000295
telemetry detection count,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000296,MVB000296
telemetry run ID,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000297,MVB000297
voltage resolution,heartrate voltage resolution,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000298,MVB000298
wet,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000299,MVB000299
CTT solar current since last fix,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000300,MVB000300
GMatrix alert,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000301,MVB000301
GMatrix alert message,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000302,MVB000302
GMatrix device type,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000303,MVB000303
GMatrix event,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000304,MVB000304
GMatrix firmware version,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000305,MVB000305
GMatrix GPS event,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000306,MVB000306
GMatrix GPS event text,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000307,MVB000307
GMatrix GPS fix interval,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000308,MVB000308
GMatrix GPS fix interval text,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000309,MVB000309
GMatrix hardware version,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000310,MVB000310
GMatrix is moving,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000311,MVB000311
GMatrix is moving text,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000312,MVB000312
GMatrix last location,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000313,MVB000313
GMatrix last location text,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000314,MVB000314
GMatrix mode,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000315,MVB000315
GMatrix mode text,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000316,MVB000316
GMatrix packet type,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000317,MVB000317
Savannah alarm type,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000318,MVB000318
Savannah record type,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000319,MVB000319
sequence number,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000320,MVB000320
Sigfox computed location radius,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000321,MVB000321
Sigfox computed location source,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000322,MVB000322
Sigfox computed location status,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000323,MVB000323
Sigfox country,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000324,MVB000324
Sigfox device type,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000325,MVB000325
Sigfox duplicates,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000326,MVB000326
Sigfox link quality,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000327,MVB000327
Sigfox LQI,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000328,MVB000328
Sigfox operator,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000329,MVB000329
Sigfox RSSI,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000330,MVB000330
Sigfox tx interval,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000331,MVB000331
Sigfox tx interval text,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000332,MVB000332
Motus batch ID,,,event,,draft
VeDBA,,,event,,new1
Zero crossings amplitude,,,event,,new2
Zero crossings steps,,,event,,new3
Sigfox payload,,,event,,new4
TinyFox last error,,,event,,new5
TinyFox max movement index,,,event,,new6
TinyFox sunny index start voltage,,,event,,new7
TinyFox sunny index voltage increase,,,event,,new8
TinyFox total VeDBA,,,event,,new9
TinyFox VeDBA burst sum,,,,,new10
TinyFox total VeDBA count,,,event,,new11
accelerations,,,event,,new12
activity x,,,event,,new13
activity y,,,event,,new14
activity z,,,event,,new15
alt index ID,,,event,,new16
animal birth/hatch latitude,,,animal,,new17
animal birth/hatch longitude,,,animal,,new18
animal group ID,,,animal,,new19
animal marker ID,,,animal,,new20
